selection_index_1_based,exponent,public_state,source_status,scheduled_shell_count,tested_opportunity_count,small_sieve_survivor_count,base2_prp_survivor_count,factor_q
105,143006183,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2176,358,
106,143006219,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2192,330,
107,143006263,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2245,379,
108,143006447,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2101,340,
109,143006449,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2129,358,
110,143006467,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2175,362,
111,143006537,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2212,366,
112,143006551,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2178,365,
113,143006629,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2130,368,
114,143006651,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2164,354,
115,143006671,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2165,368,
116,143006723,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2112,349,
117,143006741,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2295,379,
118,143006923,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2201,376,
119,143006989,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2158,355,
120,143007089,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2197,364,
121,143007101,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2178,333,
122,143007199,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2160,371,
123,143007203,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2172,354,
124,143007367,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2188,364,
125,143007373,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2177,363,
126,143007407,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2118,333,
127,143007437,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2167,358,
128,143007499,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2170,362,
129,143007581,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2140,342,
130,143007593,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2159,349,
131,143007707,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2139,339,
132,143007731,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2170,357,
133,143007899,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2146,344,
134,143007901,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2160,370,
135,143008007,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2153,372,
136,143008039,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2190,372,
137,143008051,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2175,331,
138,143008093,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2210,364,
139,143008157,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2152,307,
140,143008207,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2187,371,
141,143008247,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2237,368,
142,143008321,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2161,337,
143,143008331,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2169,361,
144,143008337,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2115,331,
145,143008379,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2207,339,
146,143008399,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2112,339,
147,143008427,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2134,363,
148,143008429,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2187,344,
149,143008499,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2193,347,
150,143008529,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2163,335,
151,143008559,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2207,359,
152,143008601,SEARCH_INPUT,RADIX2_FIRST_SINGULARITY_SHELL_EXHAUSTED_PRIMALITY_UNASSIGNED,9595,9595,2235,392,
